,mean_suitability,fraction_above,directional_schoeners_d,directional_warrens_i,quantile_90_suitability
mean_suitability,1.000000,0.970362,0.093816,0.110332,0.768409
fraction_above,0.970362,1.000000,0.093996,0.104966,0.751690
directional_schoeners_d,0.093816,0.093996,1.000000,0.989034,-0.477622
directional_warrens_i,0.110332,0.104966,0.989034,1.000000,-0.445716
quantile_90_suitability,0.768409,0.751690,-0.477622,-0.445716,1.000000
