,mean_suitability,fraction_above,directional_schoeners_d,directional_warrens_i
mean_suitability,1.000000,0.915098,0.097087,0.250453
fraction_above,0.915098,1.000000,0.044243,0.128977
directional_schoeners_d,0.097087,0.044243,1.000000,0.943121
directional_warrens_i,0.250453,0.128977,0.943121,1.000000
