species,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
Astacus astacus,0.03172109403500432,0.03776827096365965,0.043388872023891,0.03467657531683262,0.03462756785654252,0.07242361718305836
Austropotamobius bihariensis,0.014411024308126224,0.014142122800247027,0.018811836345669103,0.01872618317317504,0.01755654469372765,0.05929722905986839
Austropotamobius fulcisianus,0.0508645153359363,0.10808663485715023,0.06422589335809736,0.04495137442763035,0.08548570592557231,0.19783767423144094
Austropotamobius pallipes,0.027920539196776718,0.02762725132589157,0.01654007247484782,0.013038275548471855,0.014846104737972059,0.044914865038461156
Austropotamobius torrentium,0.034172653073542995,0.03846826540449491,0.049473817405455256,0.047096034225363,0.039864315260802544,0.2027652801738845
Euastacus armatus,0.009152950228829133,0.0228497504722327,0.005349658470710411,0.003898746772812536,0.005159399089133067,0.003884577890858054
Pacifastacus leniusculus,0.04254371947363803,0.11209515518007371,0.08426448308369693,0.030025663069234446,0.022545211587942416,0.04222293273994216
Parastacus pugnax,0.0030031771717691108,0.009807517483400611,0.01053938191548428,0.0037575912876771046,0.003000000206333014,0.03648941584483341
Pontastacus leptodactylus,0.06506984190721261,0.0810495988967327,0.07989562675356865,0.0600346726580308,0.05641446899502508,0.09333773481625098
